person1_name,person1_dob,person1_tob,person1_pob,person1_moon_sign,person1_nakshatra,person2_name,person2_dob,person2_tob,person2_pob,person2_moon_sign,person2_nakshatra,varna_score,vashya_score,tara_score,yoni_score,graha_maitri_score,gana_score,bhakoot_score,nadi_score,total_score,compatible
Parupalli Kashyap,"September 08, 1986",12:00:00,Hyderabad,Libra,Chitra,Virender Sehwag,"October 20, 1978",02:45:00,Delhi,Taurus,Krittika,0,1,1,0,5,6,0,8,21,1
Dhyan Chand,"August 29, 1905",02:00:00,Allahabad,Cancer,Punarvasu,Jose Brasa,"August 22, 1951",12:00:00,Spanish,Aries,Ashwini,1,1,1,3,4,6,7,0,23,1
Jose Brasa,"August 22, 1951",12:00:00,Spanish,Aries,Ashwini,Sardara Singh,"July 15, 1986",12:00:00,Sant Nagar,Libra,Chitra,1,1,1,2,3,1,7,8,24,1
About Tushar Deshpande/ Who is Tushar Deshpande ?,"May 15, 1995",12:00:00,Mumbai,Scorpio,Vishakha,Gautam Gambhir,"October 14, 1981",12:00:00,Delhi,Aries,Ashwini,1,0,1,3,5,1,0,8,19,1
About Imran Khan/ Who is Imran Khan ?,"October 5, 1952",06:45:00,Lahore,Aries,Ashwini,Sreejesh Ravindran,"May 08, 1988",12:00:00,Kumarapuram,Capricorn,Uttara Ashadha,1,2,1,3,0,6,7,8,28,1
Giorgio Chiellini,"August 14, 1984",12:00:00,Pisa,Aquarius,Dhanishta,Danish Mujtaba,"December 20, 1988",12:00:00,Allahabad,Aries,Ashwini,0,1,1,3,0,1,7,8,21,1
About Tim Seifert/ Who is Tim Seifert ?,"December 12, 1994",12:00:00,Whangarei,Pisces,Purva Bhadrapada,About Bhagath Varma/ Who is Bhagath Varma ?,"September 21, 1998",12:00:00,Chennai,Virgo,Uttara Phalguni,1,1,1,2,0,6,7,0,18,1
About Marco Jansen/ Who is Marco Jansen ?,"May 1, 2000",12:00:00,klerksdorp,Pisces,Purva Bhadrapada,Robin Roberts,"September 30, 1926",11:44:59,"89 W 39, 39 N 47",Cancer,Punarvasu,1,2,3,3,4,5,0,0,18,1
About Lukman Meriwala/ Who is Lukman Meriwala ?,"December 11, 1991",12:00:00,Vadodara,Capricorn,Uttara Ashadha,Mario Balotelli,"August 12, 1990",12:00:00,Palermo,Aries,Ashwini,0,2,1,2,0,5,7,8,25,1
About Yudhvir Charak/ Who is Yudhvir Charak ?,"December 13, 1997",12:00:00,Jammu,Taurus,Krittika,Gurbaj Singh,"August 09, 1988",12:00:00,Jalandhar,Gemini,Mrigashira,1,1,1,3,5,1,0,8,20,1
Sourav Ganguly-1,"July 08, 1972",05:45:00,Calcutta,Taurus,Krittika,Rajpal Singh,"August 08, 1983",12:00:00,Chandigarh,Cancer,Punarvasu,0,1,1,2,0,1,7,8,20,1
About Vishnu Vinod/ Who is Vishnu Vinod ?,"December 2, 1993",12:00:00,Thirumangalam,Gemini,Mrigashira,Diego Maradona,"October 30, 1960",07:05:00,Buenos Aires,Aquarius,Dhanishta,1,2,3,3,4,1,0,0,14,0
